"airport","name","iata","city","province","icao","lat","long"
"http://dbpedia.org/resource/Sultan_Muhammad_Kaharuddin_III_Airport","Sultan Muhammad Kaharuddin III Airport","SWQ","Sumbawa Besar","Lesser Sunda Islands","WADS",-8.488611221313477,117.4141693115234
"http://dbpedia.org/resource/Sultan_Syarif_Kasim_II_International_Airport","Sultan Syarif Kasim II International Airport","PKU","Pekanbaru","Riau","WIBB",0.460833340883255,101.4444427490234
"http://dbpedia.org/resource/Sultan_Thaha_Airport","Sultan Thaha Airport",,,,,,
"http://dbpedia.org/resource/Supadio_International_Airport","Supadio International Airport","PNK","Pontianak","West Kalimantan","WIOO",-0.1505555510520935,109.4038925170898
"http://dbpedia.org/resource/Syamsudin_Noor_International_Airport","Syamsudin Noor International Airport","BDJ","Banjarmasin","South Kalimantan","WAOO",-3.442222118377686,114.7624969482422
"http://dbpedia.org/resource/Syekh_Hamzah_Fansyuri_Airport","Syekh Hamzah Fansyuri Airport",,,,,2.269444465637207,97.96805572509766
"http://dbpedia.org/resource/Tambolaka_Airport","Tambolaka Airport","TMC","Tambolaka","Lesser Sunda Islands","WATK",-9.409716606140137,119.2444915771484
"http://dbpedia.org/resource/Tampa_Padang_Airport","Tampa Padang Airport","MJU","Mamuju Regency","Mamuju (city)","WAFJ",-2.586666584014893,119.029167175293
"http://dbpedia.org/resource/Tanjung_Api_Airport","Tanjung Api Airport","OJU","Tojo Una-Una Regency","Central Sulawesi","WAFU",-0.8644166588783264,121.6230850219727
"http://dbpedia.org/resource/Tanjung_Harapan_Airport","Tanjung Harapan Airport","TJS",,,"WAGD",2.836388826370239,117.3736114501953
"http://dbpedia.org/resource/Tardamu_Airport","Tardamu Airport","SAU","Savu Island",,"WATS",-10.49250030517578,121.8483352661133
"http://dbpedia.org/resource/Tebelian_Airport","Tebelian Airport","SQG","Sintang Regency","West Kalimantan","WIOS",-0.04194444417953491,111.4566650390625
"http://dbpedia.org/resource/Timika","Timika",,,,,-4.550000190734863,136.8899993896484
"http://dbpedia.org/resource/Timika_Airport","Timika Airport",,,,,,
"http://dbpedia.org/resource/Tjilik_Riwut_Airport","Tjilik Riwut Airport","PKY","Palangkaraya",,"WAGG",-2.224999904632568,113.942497253418
"http://dbpedia.org/resource/Toraja_Airport","Toraja Airport","TRT","Toraja",,"WAFB",-3.185832977294922,119.9177474975586
"http://dbpedia.org/resource/Tuanku_Tambusai_Airport","Tuanku Tambusai Airport","PPR",,,"WIDE",0.8454777598381042,100.3698348999023
"http://dbpedia.org/resource/Tunggul_Wulung_Airport","Tunggul Wulung Airport","CXP","Central Java",,"WAHL",-7.644999980926514,109.0341644287109
"http://dbpedia.org/resource/Utarom_Airport","Utarom Airport","KNG","Kaimana","West Papua (province)","WASK",-3.644444465637207,133.6952819824219
"http://dbpedia.org/resource/Wamena_Airport","Wamena Airport","WMX","Wamena","Highland Papua","WAVV",-4.098333358764648,138.95166015625
"http://dbpedia.org/resource/West_Kutai_Melalan_Airport","West Kutai Melalan Airport","GHS","West Kutai Regency","East Kalimantan","WALE",-0.2037666738033295,115.759895324707
"http://dbpedia.org/resource/Wirasaba_Airport","Wirasaba Airport",,,,,,
"http://dbpedia.org/resource/Wonopito_Airport","Wonopito Airport","LWE","Lewoleba","Lembata Regency","WATW",-8.362500190734863,123.4380569458008
"http://dbpedia.org/resource/Yogyakarta_International_Airport","Yogyakarta International Airport","YIA","Central Java",,"WAHI",-7.907458782196045,110.0544815063477
