AIRPORT,TIME,FLIGHT,AIRLINE,AIRCRAFT,STATUS,TYPE,TO/FROM
TMC,9:30:00 AM,IN280,NAM Air ,B735 (PK-NAS) ,Landed 8:22 AM,Arrival,DPS
TMC,9:30:00 AM,IW1919,Wings Air ,AT75 (PK-WFO) ,Unknown,Arrival,KOE
TMC,12:00:00 PM,IW1832,Wings Air ,AT75 (PK-WFH) ,Landed 11:51 AM,Arrival,DPS
TMC,3:45:00 PM,IW1834,Wings Air ,AT75 (PK-WFH) ,Landed 3:37 PM,Arrival,DPS
TMC,9:55:00 AM,IW1918,Wings Air ,AT75 (PK-WFO) ,Unknown,Departure,KOE
TMC,10:30:00 AM,IN280,Nam Air ,735,Unknown,Departure,KOE
TMC,12:25:00 PM,IW1833,Wings Air ,AT75 (PK-WFH) ,Departed 12:21 PM,Departure,DPS
TMC,4:05:00 PM,IW1835,Wings Air ,AT75 (PK-WFH) ,Departed 4:05 PM,Departure,DPS
TMH,9:55:00 AM,IL281,Trigana Air ,D38 ,Unknown,Arrival,DJJ
TMH,1:50:00 PM,IL285,Trigana Air ,D38 ,Unknown,Arrival,MKQ
TMH,10:10:00 AM,IL286,Trigana Air ,D38 ,Unknown,Departure,MKQ
TMH,2:00:00 PM,IL282,Trigana Air ,D38 ,Unknown,Departure,DJJ
TNJ,9:00:00 AM,RI610,Rimbun Air ,73F ,Unknown,Arrival,CGK
TNJ,11:00:00 AM,ID6824,Batik Air ,A320 (PK-BKV) ,Landed 11:05 AM,Arrival,CGK
TNJ,3:05:00 PM,QG974,Citilink (Retro Livery) ,A320 (PK-GQI) ,Landed 3:26 PM,Arrival,CGK
TNJ,5:35:00 PM,GA288,Garuda Indonesia ,B738 (PK-GMM) ,Landed 5:59 PM,Arrival,CGK
TNJ,7:00:00 AM,GA289,Garuda Indonesia ,B738 (PK-GFS) ,Departed 7:54 AM,Departure,CGK
TNJ,10:00:00 AM,RI611,Rimbun Air ,73F ,Unknown,Departure,BTH
TNJ,11:45:00 AM,ID6825,Batik Air ,A320 (PK-BKV) ,Departed 11:53 AM,Departure,CGK
TNJ,3:35:00 PM,QG975,Citilink (Retro Livery) ,A320 (PK-GQI) ,Departed 4:23 PM,Departure,CGK
TRK,4:50:00 AM,9X3072,Surf Air ,PC12 (N853SA) ,Diverted to TKF,Arrival,SQL
TRK,9:45:00 AM,IU535,Super Air Jet ,A320 (PK-SAY) ,Unknown,Arrival,BPN
TRK,11:05:00 AM,QG400,Citilink ,A320 (PK-GQE) ,Unknown,Arrival,BPN
TRK,12:25:00 PM,IU692,Super Air Jet ,A320 (PK-STC) ,Unknown,Arrival,BPN
TRK,1:30:00 PM,ID6674,Batik Air ,A320 (PK-BLA) ,Unknown,Arrival,CGK
TRK,7:45:00 PM,JT268,Lion Air ,B739 (PK-LKM) ,Unknown,Arrival,SUB
TRK,7:00:00 AM,JT267,Lion Air ,B739 (PK-LHI) ,Departed 6:55 AM,Departure,SUB
TRK,9:00:00 AM,SQS311,Susi Air ,CN1 ,Unknown,Departure,LNU
TRK,10:30:00 AM,IU534,Super Air Jet ,A320 (PK-SAY) ,Departed 11:32 AM,Departure,BPN
TRK,11:35:00 AM,QG401,Citilink ,A320 (PK-GQE) ,Departed 11:47 AM,Departure,BPN
TRK,1:10:00 PM,IU693,Super Air Jet ,A320 (PK-STC) ,Departed 1:56 PM,Departure,BPN
TRK,2:20:00 PM,ID6675,Batik Air ,A320 (PK-BLA) ,Departed 2:40 PM,Departure,CGK
TRT,10:40:00 AM,IW1330,Wings Air ,AT76 (PK-WHF) ,Unknown,Arrival,UPG
TRT,11:10:00 AM,IW1331,Wings Air ,AT76 (PK-WHF) ,Estimated dep. 11:12 A,Departure,UPG
TTE,1:20:00 AM,RI712,Rimbun Air ,73F ,Unknown,Arrival,MDC
TTE,7:05:00 AM,GA648,Garuda Indonesia ,B738 (PK-GNF) ,Landed 6:55 AM,Arrival,CGK
TTE,8:10:00 AM,IW1173,Wings Air ,AT76 (PK-WGO) ,Landed 8:09 AM,Arrival,LAH
TTE,8:15:00 AM,ID6140,Batik Air ,B738 (PK-LZO) ,Landed 7:58 AM,Arrival,CGK
TTE,11:00:00 AM,JT868,Lion Air ,B738 (PK-LOH) ,Landed 10:25 AM,Arrival,SUB
TTE,11:15:00 AM,JT896,Lion Air ,738,Canceled,Arrival,UPG
TTE,11:15:00 AM,SJ695,Sriwijaya Air ,738,Unknown,Arrival,AMQ
TTE,11:20:00 AM,IW1172,Wings Air ,AT7 ,Unknown,Arrival,MDC
TTE,12:05:00 PM,IW1178,Wings Air ,AT76 (PK-WHO) ,Landed 6:51 PM,Arrival,MDC
TTE,12:40:00 PM,SJ598,Sriwijaya Air ,738,Unknown,Arrival,UPG
TTE,1:50:00 PM,IU250,Super Air Jet ,A320 (PK-SJM) ,Landed 1:40 PM,Arrival,UPG
TTE,1:50:00 PM,IW1171,Wings Air ,AT7 ,Unknown,Arrival,OTI
TTE,3:45:00 PM,IW1174,Wings Air ,AT76 (PK-WJT) ,Landed 5:55 PM,Arrival,MDC
TTE,5:15:00 PM,JT980,Lion Air ,B738 (PK-LPO) ,Landed 5:35 PM,Arrival,UPG
TTE,5:15:00 PM,JT1706,Lion Air ,738,Unknown,Arrival,UPG
TTE,2:20:00 AM,RI713,Rimbun Air ,73F ,Unknown,Departure,KDI
TTE,6:40:00 AM,JT981,Lion Air ,B738 (PK-LPO) ,Departed 6:45 AM,Departure,UPG
TTE,8:05:00 AM,GA649,Garuda Indonesia ,B738 (PK-GNF) ,Departed 8:13 AM,Departure,CGK
TTE,8:10:00 AM,SJ694,Sriwijaya Air ,738,Unknown,Departure,AMQ
TTE,8:40:00 AM,IW1173,Wings Air ,AT76 (PK-WGO) ,Departed 8:56 AM,Departure,MDC
TTE,9:00:00 AM,ID6141,Batik Air ,B738 (PK-LZO) ,Departed 9:03 AM,Departure,CGK
TTE,11:45:00 AM,JT869,Lion Air ,B738 (PK-LOH) ,Departed 11:38 AM,Departure,SUB
TTE,12:00:00 PM,IW1172,Wings Air ,AT7 ,Unknown,Departure,OTI
TTE,12:00:00 PM,JT897,Lion Air ,738,Canceled,Departure,UPG
TTE,1:25:00 PM,SJ599,Sriwijaya Air ,738,Unknown,Departure,UPG
TTE,2:10:00 PM,IW1171,Wings Air ,AT7 ,Unknown,Departure,MDC
